Date;spy us equity;;iev us equity;;EWJ us equity;;EPP us equity;;EEMA us equity;;ILF us equity;;RSX us equity;;SHY us equity;;IEF us equity;;TLT us equity;;JNK us equity;;AGG us equity;;EMB us equity
#¿NOMBRE?;-0,738;#¿NOMBRE?;-1,9287;#¿NOMBRE?;-1,2308;#¿NOMBRE?;-2,2505;#¿NOMBRE?;-2,2002;#¿NOMBRE?;-2,0483;#¿NOMBRE?;-2,5698;#¿NOMBRE?;0,0237;#¿NOMBRE?;0,5638;#¿NOMBRE?;1,2988;#¿NOMBRE?;-0,5292;#¿NOMBRE?;0,136;#¿NOMBRE?;-0,3054
04/12/2014;-0,1106;04/12/2014;-0,4012;04/12/2014;-0,2125;04/12/2014;-0,0217;24/02/2015;1,2694;04/12/2014;-1,6915;04/12/2014;-2,6604;04/12/2014;0,0591;04/12/2014;0,3513;04/12/2014;0,8362;04/12/2014;-0,102;04/12/2014;0,3007;04/12/2014;0,1152
05/12/2014;0,1637;05/12/2014;0,4924;05/12/2014;0,0852;05/12/2014;-0,2388;25/02/2015;0,1969;05/12/2014;0,356;05/12/2014;-0,4287;05/12/2014;-0,1889;05/12/2014;-0,5582;05/12/2014;-0,5829;05/12/2014;-0,1021;05/12/2014;-0,4269;05/12/2014;-0,3896
08/12/2014;-0,6683;08/12/2014;-0,7572;08/12/2014;-1,617;08/12/2014;-0,9791;26/02/2015;0,1064;08/12/2014;-2,6899;08/12/2014;-5,436;08/12/2014;-0,0118;08/12/2014;0,333;08/12/2014;1,2222;08/12/2014;-0,6133;08/12/2014;0,2463;08/12/2014;-0,7201
09/12/2014;-0,0678;09/12/2014;-0,8752;09/12/2014;0,519;09/12/2014;-0,6812;27/02/2015;0,0409;09/12/2014;-0,3341;09/12/2014;-0,0569;09/12/2014;0,0355;09/12/2014;0,3698;09/12/2014;0,514;09/12/2014;-0,2828;09/12/2014;0,1547;09/12/2014;-0,3044
10/12/2014;-1,6031;10/12/2014;-1,1546;10/12/2014;-1,5491;10/12/2014;-0,9513;02/03/2015;0,2201;10/12/2014;-3,0174;10/12/2014;-2,221;10/12/2014;0,0828;10/12/2014;0,4535;10/12/2014;0,7305;10/12/2014;-1,1862;10/12/2014;0,1726;10/12/2014;-0,952
11/12/2014;0,5069;11/12/2014;-0,3779;11/12/2014;0,2622;11/12/2014;0;03/03/2015;-0,7417;11/12/2014;-0,9114;11/12/2014;-5,6203;11/12/2014;-0,0473;11/12/2014;-0,174;11/12/2014;0,411;11/12/2014;-0,6263;11/12/2014;-0,0363;11/12/2014;-0,535
12/12/2014;-1,6161;12/12/2014;-2,3566;12/12/2014;-0,959;12/12/2014;-1,0721;04/03/2015;-0,6082;12/12/2014;-2,8544;12/12/2014;-2,4992;12/12/2014;0,0946;12/12/2014;0,8244;12/12/2014;1,3562;12/12/2014;-1,1817;12/12/2014;0,3176;12/12/2014;-1,2946
15/12/2014;-0,6869;15/12/2014;-1,7424;15/12/2014;-1,9366;15/12/2014;-1,1063;05/03/2015;-0,1009;15/12/2014;-2,6771;15/12/2014;-11,8354;15/12/2014;-0,0709;15/12/2014;-0,3645;15/12/2014;-0,2059;15/12/2014;0,2923;15/12/2014;-0,2713;15/12/2014;-1,4501
16/12/2014;-0,802;16/12/2014;1,1982;16/12/2014;0,0898;16/12/2014;-0,3881;06/03/2015;-1,1075;16/12/2014;-0,9057;16/12/2014;3,2304;16/12/2014;0,0591;16/12/2014;0,5018;16/12/2014;1,2377;16/12/2014;-0,7419;16/12/2014;0,2449;16/12/2014;-0,6186
17/12/2014;1,9605;17/12/2014;1,0893;17/12/2014;1,671;17/12/2014;0,5541;09/03/2015;0,2846;17/12/2014;4,4347;17/12/2014;10,0834;17/12/2014;-0,0945;17/12/2014;-0,6859;17/12/2014;-0,9014;17/12/2014;1,8954;17/12/2014;-0,1267;17/12/2014;2,5179
18/12/2014;2,4729;18/12/2014;2,1082;18/12/2014;1,5972;18/12/2014;1,3804;10/03/2015;-1,978;18/12/2014;2,5608;18/12/2014;-5,7486;18/12/2014;-0,0591;18/12/2014;-0,5638;18/12/2014;-1,7793;18/12/2014;0,7074;18/12/2014;-0,2627;18/12/2014;1,389
19/12/2014;0,4231;19/12/2014;-0,1457;19/12/2014;0,524;19/12/2014;1,0155;11/03/2015;-0,0426;19/12/2014;1,6437;19/12/2014;8,5121;19/12/2014;-0,071;19/12/2014;0,3686;19/12/2014;1,3446;19/12/2014;1,1707;19/12/2014;0,1635;19/12/2014;1,0434
22/12/2014;0,46;22/12/2014;0,4394;22/12/2014;-0,2606;22/12/2014;0,9139;12/03/2015;1,1755;22/12/2014;-0,1572;22/12/2014;2,7054;22/12/2014;0,0237;22/12/2014;0;22/12/2014;0,1351;22/12/2014;-0,1286;22/12/2014;0,1542;22/12/2014;0,1616
23/12/2014;0,135;23/12/2014;-0,3684;23/12/2014;0,1742;23/12/2014;-0,9056;13/03/2015;-1,0271;23/12/2014;0,1259;23/12/2014;-3,4396;23/12/2014;-0,1065;23/12/2014;-0,8285;23/12/2014;-1,9835;23/12/2014;0,309;23/12/2014;-0,4617;23/12/2014;-0,3944
24/12/2014;0,0096;24/12/2014;0,6702;24/12/2014;-0,1739;24/12/2014;0,297;16/03/2015;1,6222;24/12/2014;0,1572;24/12/2014;3,3031;24/12/2014;0,051;24/12/2014;0,0717;24/12/2014;0,5434;24/12/2014;0,2823;24/12/2014;0,1086;24/12/2014;0,3297
