Date;spy us equity;;iev us equity;;EWJ us equity;;EPP us equity;;EEMA us equity;;ILF us equity;;RSX us equity;;SHY us equity;;IEF us equity;;TLT us equity;;JNK us equity;;AGG us equity;;EMB us equity
#¿NOMBRE?;-0,738;#¿NOMBRE?;-1,9287;#¿NOMBRE?;-1,2308;#¿NOMBRE?;-2,2505;#¿NOMBRE?;-2,2002;#¿NOMBRE?;-2,0483;#¿NOMBRE?;-2,5698;#¿NOMBRE?;0,0237;#¿NOMBRE?;0,5638;#¿NOMBRE?;1,2988;#¿NOMBRE?;-0,5292;#¿NOMBRE?;0,136;#¿NOMBRE?;-0,3054
16/04/2020;0,4824;16/04/2020;0,2819;16/04/2020;-0,8501;16/04/2020;0,2521;02/07/2020;2,5882;16/04/2020;-2,0602;16/04/2020;1,6338;16/04/2020;0,0231;16/04/2020;0,1066;16/04/2020;1,1357;16/04/2020;-0,0702;16/04/2020;0,1279;16/04/2020;-0,6513
17/04/2020;2,7015;17/04/2020;3,3455;17/04/2020;1,336;17/04/2020;2,347;06/07/2020;4,6747;17/04/2020;3,1823;17/04/2020;1,8847;17/04/2020;-0,0346;17/04/2020;-0,2621;17/04/2020;-1,3405;17/04/2020;0,522;17/04/2020;-0,1193;17/04/2020;0,706
20/04/2020;-1,7618;20/04/2020;-1,3602;20/04/2020;-1,5348;20/04/2020;-2,3751;07/07/2020;-1,5851;20/04/2020;-2,7705;20/04/2020;-4,0261;20/04/2020;0;20/04/2020;0,2628;20/04/2020;0,8045;20/04/2020;-1,548;20/04/2020;-0,145;20/04/2020;-0,6309
21/04/2020;-3,0363;21/04/2020;-2,0684;21/04/2020;-0,9392;21/04/2020;-3,8311;08/07/2020;2,6471;21/04/2020;-3,2796;21/04/2020;-2,7778;21/04/2020;0,0231;21/04/2020;0,2785;21/04/2020;1,2592;21/04/2020;-2,1201;21/04/2020;0,0512;21/04/2020;-1,4009
22/04/2020;2,2195;22/04/2020;1,5207;22/04/2020;1,7349;22/04/2020;2,9369;09/07/2020;0,5321;22/04/2020;2,2235;22/04/2020;5,3061;22/04/2020;-0,0346;22/04/2020;-0,3104;22/04/2020;-1,0217;22/04/2020;0,9846;22/04/2020;0;22/04/2020;0,0818
23/04/2020;-0,0072;23/04/2020;-0,7767;23/04/2020;0,1388;23/04/2020;-0,1412;10/07/2020;-0,9828;23/04/2020;-1,9032;23/04/2020;1,3843;23/04/2020;-0,0115;23/04/2020;0,0656;23/04/2020;0,5308;23/04/2020;-0,1847;23/04/2020;0,239;23/04/2020;0,48
24/04/2020;1,3939;24/04/2020;1,2301;24/04/2020;0,7723;24/04/2020;1,075;13/07/2020;-0,3355;24/04/2020;-5,2106;24/04/2020;0,5461;24/04/2020;0;24/04/2020;0,0246;24/04/2020;0,2347;24/04/2020;-0,658;24/04/2020;-0,0511;24/04/2020;-0,4371
27/04/2020;1,4418;27/04/2020;1,4361;27/04/2020;1,3755;27/04/2020;1,1195;14/07/2020;0,4661;27/04/2020;4,0351;27/04/2020;0,9234;27/04/2020;0;27/04/2020;-0,5322;27/04/2020;-1,8614;27/04/2020;0,3829;27/04/2020;-0,4601;27/04/2020;-0,1736
28/04/2020;-0,4599;28/04/2020;0,7079;28/04/2020;1,4538;28/04/2020;0,4152;15/07/2020;-0,3354;28/04/2020;6,127;28/04/2020;0,3229;28/04/2020;0,0346;28/04/2020;0,4362;28/04/2020;1,1511;28/04/2020;0,1753;28/04/2020;0,3938;28/04/2020;0,9818
29/04/2020;2,6179;29/04/2020;2,6764;29/04/2020;1,7577;29/04/2020;2,2051;16/07/2020;-1,7032;29/04/2020;5,8263;29/04/2020;4,882;29/04/2020;-0,0115;29/04/2020;-0,0492;29/04/2020;-0,5189;29/04/2020;1,6879;29/04/2020;0,0682;29/04/2020;1,6002
30/04/2020;-0,9311;30/04/2020;-1,8431;30/04/2020;-2,8164;30/04/2020;-1,1597;17/07/2020;0,7336;30/04/2020;-4,2042;30/04/2020;-3,0179;30/04/2020;0,1731;30/04/2020;-0,2378;30/04/2020;-1,1677;30/04/2020;0,2328;30/04/2020;-0,2215;30/04/2020;0,1794
01/05/2020;-2,6473;01/05/2020;-2,0655;01/05/2020;-1,7581;01/05/2020;-3,7926;20/07/2020;1,0404;01/05/2020;-4,1275;01/05/2020;-3,3228;01/05/2020;-0,147;01/05/2020;0,1381;01/05/2020;0,8553;01/05/2020;-1,5683;01/05/2020;0,0054;01/05/2020;-0,4288
04/05/2020;0,2758;04/05/2020;-0,1096;04/05/2020;-0,4916;04/05/2020;1,6449;21/07/2020;1,4964;04/05/2020;1,6894;04/05/2020;3,2733;04/05/2020;0;04/05/2020;0,0164;04/05/2020;-0,4704;04/05/2020;-0,1444;04/05/2020;0,0856;04/05/2020;0
05/05/2020;0,9239;05/05/2020;-0,2194;05/05/2020;0,9684;05/05/2020;0,6417;22/07/2020;-1,1633;05/05/2020;0,4823;05/05/2020;1,1094;05/05/2020;-0,0115;05/05/2020;-0,0739;05/05/2020;-0,6401;05/05/2020;0,7746;05/05/2020;-0,0769;05/05/2020;1,0934
06/05/2020;-0,6779;06/05/2020;-0,742;06/05/2020;-0,7634;06/05/2020;-0,8594;23/07/2020;-0,6158;06/05/2020;-2,1333;06/05/2020;-1,6196;06/05/2020;0,0346;06/05/2020;-0,3699;06/05/2020;-1,6136;06/05/2020;-0,3792;06/05/2020;-0,4021;06/05/2020;-0,4465
07/05/2020;1,2067;07/05/2020;1,6611;07/05/2020;1,499;07/05/2020;1,0906;24/07/2020;-0,8538;07/05/2020;-0,9264;07/05/2020;0,478;07/05/2020;0,0693;07/05/2020;0,6106;07/05/2020;1,6706;07/05/2020;0,2572;07/05/2020;0,3093;07/05/2020;0,7974
08/05/2020;1,6546;08/05/2020;1,6612;08/05/2020;1,7101;08/05/2020;1,3001;27/07/2020;1,5278;08/05/2020;4,6205;08/05/2020;2,3256;08/05/2020;-0,0231;08/05/2020;-0,3281;08/05/2020;-1,3001;08/05/2020;0,9749;08/05/2020;-0,2655;08/05/2020;0,5142
11/05/2020;0,0205;11/05/2020;-0,4822;11/05/2020;0,9553;11/05/2020;0,1092;28/07/2020;-0,5746;11/05/2020;-2,4711;11/05/2020;-1,9112;11/05/2020;-0,0346;11/05/2020;-0,2798;11/05/2020;-0,7806;11/05/2020;-0,4268;11/05/2020;-0,3005;11/05/2020;0,5509
12/05/2020;-1,9932;12/05/2020;-1,2382;12/05/2020;-1,3058;12/05/2020;-1,5276;29/07/2020;1,486;12/05/2020;-2,5337;12/05/2020;0,3686;12/05/2020;0,0231;12/05/2020;0,3301;12/05/2020;1,0264;12/05/2020;-0,051;12/05/2020;0,2584;12/05/2020;-0,1859
13/05/2020;-1,7686;13/05/2020;-1,3628;13/05/2020;0,4794;13/05/2020;-0,831;30/07/2020;-0,827;13/05/2020;-2,323;13/05/2020;-2,3085;13/05/2020;0;13/05/2020;0,2056;13/05/2020;0,6996;13/05/2020;-0,5923;13/05/2020;0,1632;13/05/2020;-0,5979
14/05/2020;1,1967;14/05/2020;-0,829;14/05/2020;-1,4885;14/05/2020;-0,0279;31/07/2020;-0,4921;14/05/2020;2,3783;14/05/2020;2,5242;14/05/2020;-0,0231;14/05/2020;0,1559;14/05/2020;0,9787;14/05/2020;-0,2773;14/05/2020;0,3087;14/05/2020;0,4635
15/05/2020;0,4597;15/05/2020;0,1672;15/05/2020;0,1744;15/05/2020;0,0279;03/08/2020;0,9067;15/05/2020;-1,2168;15/05/2020;-1,0477;15/05/2020;0,0577;15/05/2020;-0,0656;15/05/2020;-0,2573;15/05/2020;0,0515;15/05/2020;0,0598;15/05/2020;0,2748
18/05/2020;3,046;18/05/2020;4,4506;18/05/2020;2,4947;18/05/2020;3,9665;04/08/2020;1,5248;18/05/2020;6,8869;18/05/2020;5,135;18/05/2020;-0,0808;18/05/2020;-0,615;18/05/2020;-2,1954;18/05/2020;1,6988;18/05/2020;-0,1453;18/05/2020;1,7424
19/05/2020;-1,0271;19/05/2020;-1,4381;19/05/2020;-1,1698;19/05/2020;-0,9941;05/08/2020;1,5019;19/05/2020;-2,5144;19/05/2020;-0,3021;19/05/2020;0,0577;19/05/2020;0,2805;19/05/2020;0,3741;19/05/2020;0,1215;19/05/2020;0,1112;19/05/2020;0,077
20/05/2020;1,6988;20/05/2020;2,2426;20/05/2020;1,5082;20/05/2020;2,1438;06/08/2020;0,2378;20/05/2020;2,633;20/05/2020;4,0404;20/05/2020;0;20/05/2020;0,0247;20/05/2020;0,2994;20/05/2020;1,092;20/05/2020;0,2564;20/05/2020;1,9227
21/05/2020;-0,6904;21/05/2020;-0,8457;21/05/2020;-1,072;21/05/2020;-2,2051;07/08/2020;-2,2539;21/05/2020;2,1466;21/05/2020;-1,1165;21/05/2020;-0,0231;21/05/2020;0,0658;21/05/2020;0,2498;21/05/2020;-0,02;21/05/2020;0,0767;21/05/2020;-0,0283
22/05/2020;0,1899;22/05/2020;-0,2665;22/05/2020;0,1331;22/05/2020;-1,7658;10/08/2020;0,0944;22/05/2020;-0,3075;22/05/2020;-1,1291;22/05/2020;0;22/05/2020;0,1891;22/05/2020;0,6016;22/05/2020;0,3301;22/05/2020;0,0511;22/05/2020;-0,4529
26/05/2020;1,2321;26/05/2020;2,5387;26/05/2020;3,3985;26/05/2020;3,3462;11/08/2020;-0,1886;26/05/2020;5,09;26/05/2020;1,9861;26/05/2020;0;26/05/2020;-0,2626;26/05/2020;-1,341;26/05/2020;0,8575;26/05/2020;-0,1618;26/05/2020;0,6161
27/05/2020;1,4879;27/05/2020;1,3813;27/05/2020;1,2853;27/05/2020;0,2944;12/08/2020;1,9436;27/05/2020;3,18;27/05/2020;0,4869;27/05/2020;-0,0231;27/05/2020;0,0823;27/05/2020;-0,1837;27/05/2020;0,2966;27/05/2020;0,145;27/05/2020;0,1696
28/05/2020;-0,1845;28/05/2020;0,9254;28/05/2020;1,3053;28/05/2020;0,4002;13/08/2020;-0,6752;28/05/2020;-2,7501;28/05/2020;0,4845;28/05/2020;0,0462;28/05/2020;-0,0904;28/05/2020;-0,368;28/05/2020;0,0591;28/05/2020;-0,0681;28/05/2020;-0,2821
29/05/2020;0,4456;29/05/2020;0,0509;29/05/2020;-0,8411;29/05/2020;-1,3022;14/08/2020;-0,06;29/05/2020;0;29/05/2020;-0,5786;29/05/2020;0;29/05/2020;0,3209;29/05/2020;0,7142;29/05/2020;0,4729;29/05/2020;0,2642;29/05/2020;0,3395
01/06/2020;0,4042;01/06/2020;2,2403;01/06/2020;1,516;01/06/2020;4,2003;17/08/2020;1,914;01/06/2020;2,8279;01/06/2020;2,9583;01/06/2020;-0,0115;01/06/2020;-0,0392;01/06/2020;-0,6723;01/06/2020;0,6557;01/06/2020;-0,0564;01/06/2020;0,4855
02/06/2020;0,828;02/06/2020;1,1454;02/06/2020;0,4444;02/06/2020;1,9638;18/08/2020;-0,6151;02/06/2020;5,1209;02/06/2020;1,4131;02/06/2020;0;02/06/2020;-0,1642;02/06/2020;-0,3636;02/06/2020;1,0178;02/06/2020;0,0852;02/06/2020;0,9664
03/06/2020;1,3308;03/06/2020;2,9542;03/06/2020;0,6903;03/06/2020;2,8383;19/08/2020;-1,2115;03/06/2020;3,9693;03/06/2020;1,3005;03/06/2020;-0,0809;03/06/2020;-0,5923;03/06/2020;-1,3297;03/06/2020;0,6394;03/06/2020;-0,2469;03/06/2020;0,4461
04/06/2020;-0,2627;04/06/2020;-0,3109;04/06/2020;-1,125;04/06/2020;-0,1479;20/08/2020;-0,5065;04/06/2020;0,4338;04/06/2020;-3,6222;04/06/2020;0,0231;04/06/2020;-0,3972;04/06/2020;-1,4479;04/06/2020;-0,3273;04/06/2020;-0,2987;04/06/2020;-0,4718
05/06/2020;2,5629;05/06/2020;1,9189;05/06/2020;1,44;05/06/2020;2,7394;21/08/2020;0,3775;05/06/2020;4,5356;05/06/2020;1,9029;05/06/2020;-0,0347;05/06/2020;-0,4985;05/06/2020;-0,7123;05/06/2020;1,0334;05/06/2020;0,0599;05/06/2020;0,818
08/06/2020;1,2087;08/06/2020;1,1532;08/06/2020;1,4721;08/06/2020;1,3212;24/08/2020;1,4124;08/06/2020;4,2562;08/06/2020;1,8207;08/06/2020;-0,0231;08/06/2020;0,1085;08/06/2020;0,3843;08/06/2020;0,1434;08/06/2020;0,1112;08/06/2020;0,7099
09/06/2020;-0,7457;09/06/2020;-1,5589;09/06/2020;-0,5181;09/06/2020;-1,0669;25/08/2020;1,224;09/06/2020;-2,8141;09/06/2020;-1,0087;09/06/2020;0,0347;09/06/2020;0,3586;09/06/2020;1,1359;09/06/2020;-0,6491;09/06/2020;0,1282;09/06/2020;-0,2655
10/06/2020;-0,558;10/06/2020;-0,3545;10/06/2020;-0,0521;10/06/2020;0,1917;26/08/2020;0,7411;10/06/2020;-2,9772;10/06/2020;0,2779;10/06/2020;0,0578;10/06/2020;0,7479;10/06/2020;1,4827;10/06/2020;-0,1633;10/06/2020;0,4096;10/06/2020;0,0092
11/06/2020;-5,7649;11/06/2020;-6,0009;11/06/2020;-4,2036;11/06/2020;-6,2664;27/08/2020;-0,8389;11/06/2020;-7,7764;11/06/2020;-5,5427;11/06/2020;-0,0462;11/06/2020;0,3547;11/06/2020;1,8901;11/06/2020;-2,5503;11/06/2020;-0,17;11/06/2020;-2,2946
12/06/2020;1,1976;12/06/2020;1,8168;12/06/2020;1,7951;12/06/2020;1,6586;28/08/2020;0,9371;12/06/2020;4,1021;12/06/2020;2,2983;12/06/2020;0,0347;12/06/2020;-0,2219;12/06/2020;-0,9641;12/06/2020;1,0073;12/06/2020;0,1022;12/06/2020;1,1649
15/06/2020;0,9336;15/06/2020;0,9511;15/06/2020;-1,0836;15/06/2020;0,5353;31/08/2020;-2,2824;15/06/2020;-1,6972;15/06/2020;-0,3346;15/06/2020;-0,0231;15/06/2020;-0,0824;15/06/2020;0,0555;15/06/2020;0,6942;15/06/2020;0,3317;15/06/2020;0,5293
16/06/2020;1,9248;16/06/2020;1,1928;16/06/2020;1,9241;16/06/2020;0,6581;01/09/2020;1,6231;16/06/2020;0,8566;16/06/2020;0,6715;16/06/2020;-0,0116;16/06/2020;-0,2061;16/06/2020;-1,5333;16/06/2020;0,7282;16/06/2020;-0,195;16/06/2020;0,4711
17/06/2020;-0,4154;17/06/2020;0,3193;17/06/2020;0,4452;17/06/2020;0,2766;02/09/2020;0,0379;17/06/2020;0,3576;17/06/2020;-0,9528;17/06/2020;0,0347;17/06/2020;0,157;17/06/2020;0,4128;17/06/2020;-0,2313;17/06/2020;-0,0849;17/06/2020;-0,1425
18/06/2020;0,0385;18/06/2020;-0,7589;18/06/2020;-0,1773;18/06/2020;-0,2758;03/09/2020;-2,3484;18/06/2020;-2,0935;18/06/2020;-0,0481;18/06/2020;-0,0116;18/06/2020;0,2227;18/06/2020;1,0588;18/06/2020;-0,2995;18/06/2020;0,102;18/06/2020;-0,1059
19/06/2020;-0,5689;19/06/2020;-0,37;19/06/2020;-0,4796;19/06/2020;-0,9806;04/09/2020;0,3423;19/06/2020;1,2739;19/06/2020;0,3369;19/06/2020;0,0231;19/06/2020;0,0329;19/06/2020;0,0801;19/06/2020;-0,126;19/06/2020;0,034;19/06/2020;0,2212
22/06/2020;0,6415;22/06/2020;1,436;22/06/2020;0,6782;22/06/2020;1,9807;08/09/2020;-1,6923;22/06/2020;-0,4942;22/06/2020;2,6859;22/06/2020;-0,0231;22/06/2020;-0,0905;22/06/2020;0,0123;22/06/2020;-0,1552;22/06/2020;-0,0255;22/06/2020;0,1747
23/06/2020;0,4604;23/06/2020;0,5858;23/06/2020;0,2659;23/06/2020;0,1743;09/09/2020;1,2128;23/06/2020;2,2122;23/06/2020;0,8407;23/06/2020;0,0231;23/06/2020;-0,0329;23/06/2020;-0,6835;23/06/2020;0,1652;23/06/2020;-0,017;23/06/2020;0,202
24/06/2020;-2,5509;24/06/2020;-2,6693;24/06/2020;-2,0863;24/06/2020;-2,1626;10/09/2020;-1,8639;24/06/2020;-3,9311;24/06/2020;-1,7138;24/06/2020;0,0116;24/06/2020;0,1895;24/06/2020;1,0725;24/06/2020;-1,0769;24/06/2020;-0,017;24/06/2020;-0,3115
25/06/2020;1,0721;25/06/2020;1,5707;25/06/2020;1,1376;25/06/2020;0,813;11/09/2020;1,2753;25/06/2020;1,6092;25/06/2020;1,9321;25/06/2020;0;25/06/2020;0,0164;25/06/2020;0,2883;25/06/2020;-0,0687;25/06/2020;0,1189;25/06/2020;0,0643
26/06/2020;-2,3751;26/06/2020;-1,7919;26/06/2020;-0,9641;26/06/2020;-1,3861;14/09/2020;1,0851;26/06/2020;-3,9819;26/06/2020;-2,1267;26/06/2020;0,0347;26/06/2020;0,2713;26/06/2020;1,0703;26/06/2020;-0,9127;26/06/2020;0,1188;26/06/2020;-0,2021
29/06/2020;1,4698;29/06/2020;1,1997;29/06/2020;0,018;29/06/2020;1,2011;15/09/2020;1,0602;29/06/2020;2,3091;29/06/2020;0;29/06/2020;0,0231;29/06/2020;0,0984;29/06/2020;-0,3147;29/06/2020;-0,8221;29/06/2020;0,0847;29/06/2020;0,1288
30/06/2020;1,281;30/06/2020;-0,2223;30/06/2020;-1,0094;30/06/2020;0,404;16/09/2020;-0,4721;30/06/2020;-0,6449;30/06/2020;-1,9839;30/06/2020;-0,0115;30/06/2020;-0,1802;30/06/2020;-0,4856;30/06/2020;1,0287;30/06/2020;0,0847;30/06/2020;0,386
01/07/2020;0,7005;01/07/2020;0,8168;01/07/2020;-0,2003;01/07/2020;0,7797;17/09/2020;-0,3426;01/07/2020;2,179;01/07/2020;0,8193;01/07/2020;-0,0339;01/07/2020;-0,1559;01/07/2020;-0,1942;01/07/2020;0,285;01/07/2020;0,0532;01/07/2020;0,2287
02/07/2020;0,5507;02/07/2020;0,933;02/07/2020;0,6568;02/07/2020;1,8967;18/09/2020;-0,238;02/07/2020;1,0436;02/07/2020;1,434;02/07/2020;0,0462;02/07/2020;0,1234;02/07/2020;0,104;02/07/2020;0,7628;02/07/2020;0,1186;02/07/2020;0,5314
06/07/2020;1,5437;06/07/2020;1,8487;06/07/2020;1,2869;06/07/2020;1,6165;21/09/2020;-0,9409;06/07/2020;2,3799;06/07/2020;0,0471;06/07/2020;-0,0347;06/07/2020;-0,1479;06/07/2020;-0,4096;06/07/2020;0,7078;06/07/2020;-0,0085;06/07/2020;0,6198
07/07/2020;-1,0314;07/07/2020;-1,5763;07/07/2020;-0,8948;07/07/2020;-1,6872;22/09/2020;-0,2676;07/07/2020;-2,0614;07/07/2020;-0,0942;07/07/2020;0,0231;07/07/2020;0,3209;07/07/2020;1,4056;07/07/2020;-0,5467;07/07/2020;0,1523;07/07/2020;-0,5616
08/07/2020;0,7649;08/07/2020;1,1162;08/07/2020;-0,0722;08/07/2020;0,4658;23/09/2020;-1,7036;08/07/2020;2,1496;08/07/2020;1,1787;08/07/2020;0;08/07/2020;-0,1558;08/07/2020;-0,3995;08/07/2020;0,2454;08/07/2020;-0,0338;08/07/2020;0,4281
09/07/2020;-0,5693;09/07/2020;-1,3919;09/07/2020;-0,4879;09/07/2020;-1,1957;24/09/2020;-1,0781;09/07/2020;-1,7975;09/07/2020;-0,1864;09/07/2020;0,0231;09/07/2020;0,3368;09/07/2020;1,5922;09/07/2020;-0,3133;09/07/2020;0,262;09/07/2020;-0,4354
10/07/2020;1,0211;10/07/2020;1,0952;10/07/2020;1,3074;10/07/2020;0,2223;25/09/2020;-0,0552;10/07/2020;0,9821;10/07/2020;0,0467;10/07/2020;-0,0347;10/07/2020;-0,2129;10/07/2020;-0,5025;10/07/2020;0,3143;10/07/2020;-0,118;10/07/2020;-0,0091
13/07/2020;-0,8659;13/07/2020;-0,4815;13/07/2020;-0,5198;13/07/2020;-0,7146;28/09/2020;1,8496;13/07/2020;-1,6799;13/07/2020;-1,9599;13/07/2020;0;13/07/2020;0,1067;13/07/2020;0,3307;13/07/2020;-0,4994;13/07/2020;-0,0084;13/07/2020;-0,2004
14/07/2020;1,2959;14/07/2020;1,6449;14/07/2020;0,7928;14/07/2020;1,1914;29/09/2020;0;14/07/2020;2,6529;14/07/2020;0,5712;14/07/2020;0,0116;14/07/2020;-0,0082;14/07/2020;0,1438;14/07/2020;0,9545;14/07/2020;0,1604;14/07/2020;0,2374
15/07/2020;0,9187;15/07/2020;1,2851;15/07/2020;1,2692;15/07/2020;1,1283;30/09/2020;1,2061;15/07/2020;0,7008;15/07/2020;1,0885;15/07/2020;0,0116;15/07/2020;-0,0328;15/07/2020;-0,4667;15/07/2020;0,6238;15/07/2020;0,0084;15/07/2020;0,4098
16/07/2020;-0,3293;16/07/2020;-0,4699;16/07/2020;-1,0238;16/07/2020;-1,4795;01/10/2020;1,5494;16/07/2020;-1,0439;16/07/2020;-0,6086;16/07/2020;0;16/07/2020;0,0738;16/07/2020;0,4749;16/07/2020;0,0872;16/07/2020;0,0674;16/07/2020;0,1814
17/07/2020;0,2899;17/07/2020;0,661;17/07/2020;0,1605;17/07/2020;0,5908;02/10/2020;-1,2893;17/07/2020;0,1758;17/07/2020;0;17/07/2020;0,0231;17/07/2020;-0,0246;17/07/2020;-0,2094;17/07/2020;0,3581;17/07/2020;0,101;17/07/2020;0,2263
20/07/2020;0,8082;20/07/2020;0,6332;20/07/2020;0,0712;20/07/2020;0,2203;05/10/2020;0,9494;20/07/2020;1,4041;20/07/2020;2,1196;20/07/2020;-0,0231;20/07/2020;0,0656;20/07/2020;0,2458;20/07/2020;0,5979;20/07/2020;0,1094;20/07/2020;0,6685
21/07/2020;0,2128;21/07/2020;0,303;21/07/2020;0,0534;21/07/2020;1,5873;06/10/2020;0,364;21/07/2020;2,3799;21/07/2020;1,2915;21/07/2020;0,0231;21/07/2020;0,1065;21/07/2020;0,0598;21/07/2020;0,4506;21/07/2020;0,0588;21/07/2020;0,5384
22/07/2020;0,5692;22/07/2020;0,302;22/07/2020;-0,2668;22/07/2020;-0,7452;07/10/2020;1,4568;22/07/2020;1,9442;22/07/2020;0,7286;22/07/2020;-0,0116;22/07/2020;0,0327;22/07/2020;0,2989;22/07/2020;0,2481;22/07/2020;0,084;22/07/2020;0,2856
23/07/2020;-1,1932;23/07/2020;-0,8339;23/07/2020;-0,3388;23/07/2020;-0,8719;08/10/2020;0,8447;23/07/2020;-2,7778;23/07/2020;-0,4069;23/07/2020;0;23/07/2020;0,0981;23/07/2020;1,1681;23/07/2020;-0,1523;23/07/2020;0,1175;23/07/2020;-0,0445
24/07/2020;-0,644;24/07/2020;-0,7008;24/07/2020;-0,1074;24/07/2020;-0,4398;09/10/2020;0,3093;24/07/2020;0,5117;24/07/2020;1,0894;24/07/2020;0,0116;24/07/2020;-0,049;24/07/2020;-0,0059;24/07/2020;0,1716;24/07/2020;-0,0335;24/07/2020;0,0712
27/07/2020;0,7292;27/07/2020;0,988;27/07/2020;1,9882;27/07/2020;0,8098;12/10/2020;0,6809;27/07/2020;3,3093;27/07/2020;1,7063;27/07/2020;-0,0347;27/07/2020;-0,1553;27/07/2020;-0,3712;27/07/2020;0,257;27/07/2020;-0,0671;27/07/2020;0,1691
28/07/2020;-0,6342;28/07/2020;-0,3727;28/07/2020;-0,6147;28/07/2020;-0,7303;13/10/2020;-0,4211;28/07/2020;-0,8624;28/07/2020;-1,8985;28/07/2020;0,0231;28/07/2020;0,2374;28/07/2020;0,6919;28/07/2020;-0,3133;28/07/2020;0,0671;28/07/2020;-0,3375
29/07/2020;1,2299;29/07/2020;1,1457;29/07/2020;0,053;29/07/2020;1,2506;14/10/2020;-0,9739;29/07/2020;1,0771;29/07/2020;1,1701;29/07/2020;0,0231;29/07/2020;0,1307;29/07/2020;-0,1703;29/07/2020;0,6;29/07/2020;0,1174;29/07/2020;0,5882
30/07/2020;-0,3568;30/07/2020;-1,4794;30/07/2020;-1,5012;30/07/2020;-0,8477;15/10/2020;-0,647;30/07/2020;-1,5574;30/07/2020;-2,0463;30/07/2020;0,0346;30/07/2020;0,1346;30/07/2020;0,6589;30/07/2020;0,3029;30/07/2020;0,0754;30/07/2020;-0,0266
31/07/2020;0,7902;31/07/2020;-2,1351;31/07/2020;-2,582;31/07/2020;-1,3923;16/10/2020;0,5869;31/07/2020;-2,6644;31/07/2020;-0,545;31/07/2020;0,0115;31/07/2020;0,0285;31/07/2020;-0,0643;31/07/2020;0,1416;31/07/2020;0,0418;31/07/2020;0,2304
03/08/2020;0,6952;03/08/2020;1,918;03/08/2020;2,0431;03/08/2020;0,9413;19/10/2020;0,2064;03/08/2020;-1,3259;03/08/2020;1,7352;03/08/2020;0,0005;03/08/2020;-0,049;03/08/2020;-0,5028;03/08/2020;0,0142;03/08/2020;0,0396;03/08/2020;0,3697
04/08/2020;0,3863;04/08/2020;0,2823;04/08/2020;1,1183;04/08/2020;1,1534;20/10/2020;0,8916;04/08/2020;-0,8236;04/08/2020;0,4039;04/08/2020;0,0116;04/08/2020;0,3425;04/08/2020;0,9532;04/08/2020;0,0379;04/08/2020;0,1926;04/08/2020;0,5125
05/08/2020;0,6211;05/08/2020;0,4926;05/08/2020;-0,0714;05/08/2020;0,3396;21/10/2020;-0,0384;05/08/2020;1,792;05/08/2020;2,6822;05/08/2020;-0,0231;05/08/2020;-0,3332;05/08/2020;-0,8743;05/08/2020;0,1608;05/08/2020;-0,1923;05/08/2020;0,3165
06/08/2020;0,6685;06/08/2020;0,2101;06/08/2020;-0,0714;06/08/2020;0,3143;22/10/2020;0,3331;06/08/2020;-0,2576;06/08/2020;-0,566;06/08/2020;0;06/08/2020;0,1141;06/08/2020;0,5586;06/08/2020;0,1511;06/08/2020;0,1424;06/08/2020;0,2541
07/08/2020;0,0718;07/08/2020;-0,6056;07/08/2020;0,0357;07/08/2020;-0,7472;23/10/2020;0,1149;07/08/2020;-1,6358;07/08/2020;-1,4448;07/08/2020;-0,0116;07/08/2020;-0,2117;07/08/2020;-0,6666;07/08/2020;-0,1321;07/08/2020;-0,1171;07/08/2020;-0,2098
10/08/2020;0,2989;10/08/2020;0,2578;10/08/2020;0,4821;10/08/2020;0,7285;26/10/2020;-0,7653;10/08/2020;0,3501;10/08/2020;0,8441;10/08/2020;-0,0231;10/08/2020;-0,1061;10/08/2020;-0,4474;10/08/2020;-0,0661;10/08/2020;-0,0921;10/08/2020;0,1489
11/08/2020;-0,8255;11/08/2020;0,4675;11/08/2020;0,8175;11/08/2020;0,3134;27/10/2020;0,7712;11/08/2020;-0,3925;11/08/2020;-0,0881;11/08/2020;-0,0231;11/08/2020;-0,3431;11/08/2020;-1,1915;11/08/2020;-0,86;11/08/2020;-0,2766;11/08/2020;-0,105
12/08/2020;1,3942;12/08/2020;2,2336;12/08/2020;2,1153;12/08/2020;1,6102;28/10/2020;-1,7474;12/08/2020;0,1313;12/08/2020;1,8519;12/08/2020;-0,0231;12/08/2020;-0,2951;12/08/2020;-0,9066;12/08/2020;0,2097;12/08/2020;-0,2017;12/08/2020;-0,1138
13/08/2020;-0,1808;13/08/2020;-0,5917;13/08/2020;-0,1208;13/08/2020;-0,9461;29/10/2020;1,5059;13/08/2020;-0,1312;13/08/2020;1,4719;13/08/2020;-0,0116;13/08/2020;-0,2056;13/08/2020;-1,0689;13/08/2020;-0,4661;13/08/2020;-0,3705;13/08/2020;-0,2279
14/08/2020;0,003;14/08/2020;-1,076;14/08/2020;-0,0173;14/08/2020;0,0955;30/10/2020;-1,2917;14/08/2020;0,1751;14/08/2020;0,256;14/08/2020;0,0116;14/08/2020;0,0494;14/08/2020;-0,3907;14/08/2020;-0,2389;14/08/2020;-0,093;14/08/2020;-0,448
