"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,2.259865449,,
"JPN","Japan","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,1.621146899,,
"JPN","Japan","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,0.806771298,,
"JPN","Japan","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,0.527872465,,
"JPN","Japan","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,0.619144818,,
"JPN","Japan","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,0.918779136,,
"JPN","Japan","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,0.998132722,,
"JPN","Japan","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,1.566283718,,
"JPN","Japan","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,2.156052381,,
"JPN","Japan","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,2.094096917,,
"JPN","Japan","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,1.430623241,,
"JPN","Japan","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,1.396408108,,
"JPN","Japan","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,-0.110269751,,
"JPN","Japan","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,-0.430169971,,
